ano;sigla_uf;id_municipio;numero_obitos
1996;BA;2909000;32
1996;BA;2909109;35
1996;BA;2909208;39
1996;BA;2909307;78
1996;BA;2909406;24
1996;BA;2909505;19
1996;BA;2909604;66
1996;BA;2909703;37
1996;BA;2909802;358
1996;BA;2909901;53
1996;BA;2910008;24
1996;BA;2910057;171
1996;BA;2910107;39
1996;BA;2910206;37
1996;BA;2910305;47
1996;BA;2910404;25
1996;BA;2910503;140
1996;BA;2910602;156
1996;BA;2910701;205
1996;BA;2910727;346
1996;BA;2910750;6
1996;BA;2910776;7
1996;BA;2910800;1840
1996;BA;2910859;35
1996;BA;2910909;18
1996;BA;2911006;69
1996;BA;2911105;30
1996;BA;2911204;91
1996;BA;2911253;5
1996;BA;2911303;33
1996;BA;2911402;67
1996;BA;2911501;29
1996;BA;2911600;123
1996;BA;2911659;33
1996;BA;2911709;328
1996;BA;2911808;4
1996;BA;2911857;1
1996;BA;2911907;92
1996;BA;2912004;31
1996;BA;2912103;209
1996;BA;2912202;28
1996;BA;2912301;72
1996;BA;2912400;45
1996;BA;2912509;25
1996;BA;2912608;29
1996;BA;2912707;121
1996;BA;2912806;48
1996;BA;2912905;68
1996;BA;2913002;78
1996;BA;2913101;43
1996;BA;2913200;121
1996;BA;2913309;18
1996;BA;2913408;19
1996;BA;2913457;31
1996;BA;2913507;93
1996;BA;2913606;1013
1996;BA;2913705;188
1996;BA;2913804;78
1996;BA;2913903;290
1996;BA;2914000;312
1996;BA;2914109;42
1996;BA;2914208;30
1996;BA;2914307;34
1996;BA;2914406;7
1996;BA;2914505;157
1996;BA;2914604;144
1996;BA;2914653;95
1996;BA;2914703;345
1996;BA;2914802;921
1996;BA;2914901;19
1996;BA;2915007;74
1996;BA;2915106;66
1996;BA;2915205;49
1996;BA;2915304;33
1996;BA;2915353;16
1996;BA;2915403;7
1996;BA;2915502;161
1996;BA;2915601;428
1996;BA;2915700;43
1996;BA;2915809;142
1996;BA;2915908;9
1996;BA;2916005;52
1996;BA;2916104;152
1996;BA;2916203;65
1996;BA;2916302;62
1996;BA;2916401;319
1996;BA;2916500;30
1996;BA;2916609;44
1996;BA;2916708;6
1996;BA;2916807;4
1996;BA;2916856;50
1996;BA;2916906;78
1996;BA;2917003;124
1996;BA;2917102;110
1996;BA;2917201;52
1996;BA;2917300;104
1996;BA;2917334;25
1996;BA;2917359;22
1996;BA;2917409;60
1996;BA;2917508;373
1996;BA;2917607;236
1996;BA;2917706;139
1996;BA;2917805;36
1996;BA;2917904;27
1996;BA;2918001;714
1996;BA;2918100;102
1996;BA;2918209;62
1996;BA;2918308;88
1996;BA;2918357;60
1996;BA;2918407;631
1996;BA;2918456;17
1996;BA;2918506;3
1996;BA;2918555;27
1996;BA;2918605;31
1996;BA;2918704;15
1996;BA;2918753;31
1996;BA;2918803;51
1996;BA;2918902;19
1996;BA;2919009;15
1996;BA;2919058;24
1996;BA;2919108;22
1996;BA;2919157;61
1996;BA;2919207;449
1996;BA;2919306;34
1996;BA;2919405;55
1996;BA;2919504;173
1996;BA;2919603;62
1996;BA;2919702;80
1996;BA;2919801;126
1996;BA;2919900;6
1996;BA;2919926;62
1996;BA;2919959;18
1996;BA;2920007;16
1996;BA;2920106;123
1996;BA;2920205;21
1996;BA;2920304;31
1996;BA;2920403;25
1996;BA;2920452;14
1996;BA;2920502;104
1996;BA;2920601;265
1996;BA;2920700;47
1996;BA;2920809;40
1996;BA;2920908;13
1996;BA;2921005;172
1996;BA;2921054;34
1996;BA;2921104;128
1996;BA;2921203;165
1996;BA;2921302;39
1996;BA;2921401;55
1996;BA;2921450;16
1996;BA;2921500;111
1996;BA;2921609;49
1996;BA;2921708;207
1996;BA;2921807;45
1996;BA;2921906;47
1996;BA;2922003;81
1996;BA;2922052;24
1996;BA;2922102;136
1996;BA;2922201;31
1996;BA;2922250;15
1996;BA;2922300;193
1996;BA;2922409;107
1996;BA;2922508;192
1996;BA;2922607;35
1996;BA;2922656;22
1996;BA;2922706;45
1996;BA;2922730;44
1996;BA;2922755;7
1996;BA;2922805;18
1996;BA;2922854;34
1996;BA;2922904;100
1996;BA;2923001;53
1996;BA;2923035;39
1996;BA;2923050;38
1996;BA;2923100;30
1996;BA;2923209;83
1996;BA;2923308;60
1996;BA;2923357;28
1996;BA;2923407;35
1996;BA;2923506;32
1996;BA;2923605;10
1996;BA;2923704;14
1996;BA;2923803;70
1996;BA;2923902;84
1996;BA;2924009;466
1996;BA;2924058;54
1996;BA;2924108;51
1996;BA;2924207;8
1996;BA;2924306;127
1996;BA;2924405;1
1996;BA;2924504;46
1996;BA;2924603;65
1996;BA;2924652;44
1996;BA;2924678;14
1996;BA;2924702;41
1996;BA;2924801;115
1996;BA;2924900;35
